Time	R1	R2	R3	R4	R5	R6	R7	R8	T1	T2	T3	T4	T5	T6	T7	T8	TEMP_BME	TEMP	HUM_BME	HUM	PM10	Biossido di Azoto	Ozono	Biossido Zolfo	Ossido di Carbonio
Mar 09 2021 23:00:00	17853968.066666666	17113227.3	939262.7	736733.7333333333	11248442.866666667	7065856.4	18539208.7	499000000	102.95333333333332	100.21000000000002	89.95333333333336	89.17666666666663	38.90333333333334	100.66999999999997	102.79999999999997	500	43.80000000000002	41.90666666666666	7.300000000000008	10.346666666666666	29	20	50	1	0.6
Mar 10 2021 00:00:00	16871957.533333335	15703703.533333333	962553.15	735185.6166666667	9733291.25	6636354.033333333	14344493.233333332	499000000	102.97666666666673	100.25666666666667	90.03333333333332	89.25166666666665	38.97166666666665	100.75499999999992	102.85666666666663	500	43.80000000000002	43.34499999999999	7.300000000000008	9.080000000000005	26	19	44	1	0.5
Mar 10 2021 01:00:00	16876190.366666667	15458200.933333334	985460.0833333334	739809.4833333333	8813984.133333333	6058907.1	12461891.283333333	499000000	103.085	100.38166666666669	90.16166666666663	89.35500000000003	39.07166666666664	100.84666666666672	102.93999999999996	500	43.80000000000002	45.355	7.300000000000008	7.82333333333333	24	20	44	1	0.5
Mar 10 2021 02:00:00	13060740.833333334	10667377.15	1021325.05	752786.1	7659188.55	6354074.9	8814771.9	499000000	103.13666666666667	100.40833333333329	90.2033333333333	89.37833333333332	39.088333333333296	100.87999999999997	102.95833333333327	500	43.80000000000002	45.648333333333326	7.300000000000008	7.451666666666664	20	27	29	1	0.5
Mar 10 2021 03:00:00	12088024.666666666	9639522.166666666	1024943.3666666667	749048.0333333333	7403408.066666666	6563579.133333334	8695162.216666667	499000000	103.14999999999999	100.39	90.17833333333328	89.37833333333333	39.0833333333333	100.88166666666663	102.94999999999999	500	43.80000000000002	45.67666666666667	7.300000000000008	7.103333333333334	17	22	30	1	0.5
Mar 10 2021 04:00:00	12664242.483333332	10407867.783333333	1000366.1833333333	732501.75	7586840.5	6703031.4	9202922.433333334	499000000	103.07833333333332	100.4283333333333	90.18833333333333	89.39	39.07499999999997	100.88999999999997	102.97999999999996	500	43.80000000000002	45.50333333333334	7.300000000000008	6.761666666666668	13	21	31	1	0.5
Mar 10 2021 05:00:00	7821264.6	5654698.566666666	1009134.6	725608.15	7560521.55	7597176.783333333	7581197.616666666	499000000	103.11333333333337	100.41833333333332	90.18166666666663	89.35333333333332	39.071666666666644	100.87999999999995	102.94666666666659	500	43.80000000000002	45.51499999999999	7.300000000000008	6.508333333333338	11	36	17	1	0.5
Mar 10 2021 06:00:00	3687445.915254237	1721420.5423728814	1024548.7288135593	722583.9152542372	7506836.084745763	8789620.694915254	6644507.881355932	499000000	103.10169491525426	100.37966101694917	90.17457627118638	89.36949152542371	39.07118644067795	100.89322033898301	102.93898305084741	500	43.80000000000001	45.48135593220339	7.300000000000008	6.250847457627121	11	47	8	1	0.5
Mar 10 2021 07:00:00	2494274.75	787322.7666666667	1017843.0666666667	716924.4166666666	7316291.833333333	9324999.65	6579030.016666667	499000000	103.11333333333333	100.40499999999999	90.1816666666666	89.3783333333333	39.06999999999998	100.88999999999996	102.95499999999997	500	43.80000000000002	45.375	7.300000000000008	6.040000000000005	13	50	7	2	0.8
Mar 10 2021 08:00:00	2421123.2333333334	586069.9666666667	1024961.7	727905.75	7071238.883333334	9579597.233333332	6632219.85	499000000	103.12666666666665	100.3933333333333	90.1883333333333	89.36833333333331	39.068333333333314	100.8833333333333	102.94333333333329	500	43.80000000000002	45.379999999999995	7.300000000000008	6.088333333333336	14	53	11	3	0.8
Mar 10 2021 09:00:00	6402228.49122807	2598532.8596491227	1003308.1578947369	723339.4561403509	7563925.912280702	8887830.157894736	7790888.929824562	499000000	103.13684210526313	100.39824561403509	90.18947368421047	89.38245614035085	39.08421052631576	100.89824561403503	102.97543859649123	500	43.800000000000004	45.5578947368421	7.300000000000008	5.803508771929827	12	38	27	2	0.6
Mar 10 2021 10:00:00	11801070.183333334	8637030.516666668	972566.2166666667	716650.3333333334	8363560.116666666	8220994.95	10228930.65	499000000	103.14666666666663	100.43333333333332	90.1983333333333	89.39333333333335	39.08999999999996	100.89499999999995	102.99166666666665	500	43.80000000000002	45.64166666666666	7.300000000000008	5.609999999999998	10	31	40	2	0.5
