,Time,T1,R1,T2,R2,T3,R3,T4,R4,T5,R5,T6,R6,T7,R7,T8,R8,TEMP_BME,TEMP,HUM_BME,HUM,PM10,Biossido di Azoto,Biossido Zolfo,Ozono,Ossido di Carbonio
1260,2021-11-14 21:00:00,92.03833333333333,12518042.033333331,90.46333333333338,11717172.05,102.17833333333334,6260228.483333333,101.69666666666664,6251571.983333333,107.62999999999997,41690698.5,106.93833333333332,66625857.46666667,500.0,499000000.0,104.48666666666672,147450590.93333334,2.0,36.55833333333333,21.5,18.24333333333333,13,31,1,6,1.0
1261,2021-11-14 22:00:00,92.03666666666663,12140606.266666668,90.45333333333332,11636364.0,102.11666666666672,7364534.95,101.68500000000002,7717146.85,107.605,63430434.4,106.89666666666668,86154746.8,500.0,499000000.0,104.4666666666666,154930785.06666666,2.0,35.85666666666666,21.5,18.785,13,28,1,6,1.0
1262,2021-11-14 23:00:00,92.2033898305085,11307653.152542371,90.59830508474572,10831022.423728814,102.32881355932206,6512877.237288136,101.8271186440678,6683839.830508474,107.7474576271186,63805732.61016949,107.0423728813559,88605842.50847457,500.0,499000000.0,104.54067796610168,146232156.6101695,2.0,38.694915254237294,21.5,16.67118644067797,12,26,1,8,0.9
1263,2021-11-15 00:00:00,92.36333333333336,11655757.933333334,90.7916666666667,11636364.0,102.49,4650963.216666667,101.96333333333334,4689079.683333334,107.94166666666668,39938168.6,107.23333333333336,65833134.0,500.0,499000000.0,104.68999999999998,135643928.93333334,2.0,41.90166666666668,21.5,14.113333333333337,13,25,1,8,0.9
1264,2021-11-15 01:00:00,92.4,12353939.533333331,90.81333333333336,12412121.333333334,102.50166666666668,4720593.683333334,101.97333333333334,4779872.466666667,107.94333333333334,44671610.833333336,107.24000000000002,69980519.93333334,500.0,499000000.0,104.72333333333336,137123022.4,2.0,42.05666666666666,21.5,13.89,13,24,1,7,0.9
1265,2021-11-15 02:00:00,92.36,12800000.0,90.78166666666672,12800000.0,102.4666666666667,4242982.066666666,101.94833333333334,4266778.65,107.91000000000004,25619020.966666665,107.19833333333332,49227982.8,500.0,499000000.0,104.69833333333332,135217910.93333334,2.0,41.795,21.5,13.966666666666669,13,23,1,7,0.9
1266,2021-11-15 03:00:00,92.345,12871111.1,90.79166666666666,12800000.0,102.49000000000004,4245650.566666666,101.94666666666669,4266717.533333333,107.93833333333336,20768858.866666667,107.22166666666668,42784603.06666667,500.0,499000000.0,104.69666666666666,136926948.8,2.0,41.70333333333334,21.5,13.869999999999996,12,25,1,4,0.9
1267,2021-11-15 04:00:00,92.33833333333337,12871111.1,90.765,12823703.7,102.45833333333336,4420198.7,101.94833333333337,4422678.816666666,107.90333333333336,22436969.73333333,107.20666666666672,44655010.2,500.0,499000000.0,104.69000000000004,138436597.73333332,2.0,41.56500000000001,21.5,13.781666666666666,12,24,1,4,0.9
1268,2021-11-15 05:00:00,92.37499999999996,12800000.0,90.7716666666666,12823703.7,102.52333333333335,4200734.466666667,101.975,4161582.533333333,107.9216666666667,14474434.666666666,107.21666666666668,33849997.03333333,500.0,499000000.0,104.68666666666668,136028225.6,2.0,41.806666666666665,21.5,13.523333333333332,11,24,1,4,0.9
1269,2021-11-15 06:00:00,92.35500000000002,13416296.2,90.78999999999998,13558518.4,102.50666666666667,4081280.8333333335,101.97333333333331,4039300.05,107.92333333333336,10025431.75,107.21000000000002,25737465.666666668,500.0,499000000.0,104.68499999999996,132359830.13333334,2.0,41.72000000000001,21.5,13.54,11,26,1,3,1.0
1270,2021-11-15 07:00:00,92.3440677966102,14149905.627118643,90.76271186440675,14130182.983050847,102.48644067796614,4149821.13559322,101.95762711864408,4093702.305084746,107.89830508474576,8794357.13559322,107.21016949152542,22547708.6440678,500.0,499000000.0,104.70169491525422,130298562.03389832,2.0,41.48983050847458,21.5,13.64745762711864,11,29,2,3,1.3
1271,2021-11-15 08:00:00,92.31,14151110.9,90.77833333333334,14127407.2,102.48666666666672,4169675.716666667,101.96166666666667,4122003.183333333,107.90000000000003,11012069.383333333,107.20500000000008,26186361.33333333,500.0,499000000.0,104.68666666666668,127255079.2,2.0,41.54166666666666,21.5,13.603333333333332,13,32,3,3,1.1
